sentence,hotel_name,Sentiment
" the aesthetics is great but they wanted to take an hour to make fries lol, just",Hotel A,positive
"idk if it’s first day syndrome or idk the elevator wasn’t working and they don’t have stairs to goup, just the elevator",Hotel A,negative
it was wonderful  visiting  eko hotels  again and again,Hotel A,positive
  beautiful  and entertaining environment ,Hotel A,positive
 good food,Hotel A,positive
 good services,Hotel A,positive
  wonderful staffs,Hotel A,positive
"the hotel is very spacious but their car park is not enough for the customers, also, more security personnel are needed to direct new customers to avoid wonderers",Hotel A,positive
wow!eko hotel is as beautiful and as comfortable as they get,Hotel A,positive
it is a 5-star hotel and you sure get that 5-stqr treatment,Hotel A,positive
where do i begin from?the complimentary buffet breakfast that has an array of local and intercontinental dishes?or the beautiful bonding moments created due to the cozy nature of the rbg restaurant on the ground floor of the suites?the amazing security and their attention to details?the properly air-conditioned rooms?the spacious suite?the attention to details?the accessible roads?eko hotels ticks all the boxes for me,Hotel A,positive
"if you are coming to lodge here, you need to know that there are 4 'hotels' in this '1 hotel', so, you can choose appropriately",Hotel A,neutral
i loved the meals! i loved the ambience,Hotel A,positive
the facility is wheelchair-accessiblethere is a recycling bin on every floor too,Hotel A,neutral
fantastic experience,Hotel A,positive
buffet breakfast is top notch ,Hotel A,positive
the dj at the red restaurant  at eko hotels  is the best ,Hotel A,positive
rooms extremely clean and well taken care off ,Hotel A,positive
the landry service was  fabulous,Hotel A,positive
"got the room facing the waterfront, lovely view i must say but for 100k a night the room was rather  small",Hotel A,positive
 they can do better with appliances though,Hotel A,positive
 the kettle in the room was not working and i need to boil some water for coffee,Hotel A,neutral
 the breakfast buffet can be better,Hotel A,positive
" no chicken, beef, turkey or fish was in sight at breakfast",Hotel A,negative
 just some fish sauce and sausages,Hotel A,neutral
eko hotel is defined as a happening place,Hotel A,neutral
 hahaha,Hotel A,positive
 i love the environment,Hotel A,positive
 most especially the ambience at night and beautiful coffee shop therein,Hotel A,positive
 no other way to talk about the room service but wow!!! they give you a kingly treatment,Hotel A,positive
" come with you babe, family, and friends and trust me, you will always want to return with an anticipation that always results to happiness",Hotel A,positive
"too run down, outdated,  needs major revamp of the hotel and facilities",Hotel A,neutral
 i wouldn't book here for any function and pricy for what you get,Hotel A,neutral
"it was a nice, welcoming environment, with different things to enjoy",Hotel A,positive
i watched the arise fashion show and spent the night,Hotel A,neutral
the food service during the show was slow and disorganized,Hotel A,negative
the room service was much better,Hotel A,positive
"one of the greatest business hub in  lagos state with numerous businesses at a goal, eko hotel is just like living in 9 star ✨ hotel",Hotel A,positive
 one of the biggest hotel in lagos and  nigeria,Hotel A,neutral
"it acomodates foreigners than any other hotels in logos, it is also location at the heart beat of lagos close to beach",Hotel A,positive
the environment is top notch and second to none,Hotel A,positive
" there is a big swimming pool, sports center, different continental dishes restaurant, a mini art shop at the entrance, numerous event halls and meeting halls, if there is anywhere to visit and have the vibe that you are outside the country just visiting eko hotel and suites",Hotel A,neutral
the security is very tight and open to all 24/7,Hotel A,positive
i have been there since saturday and everything and everyone is nice but their customer care is quite slow ,Hotel A,positive
 it takes a lot of time for them to answer when you call them to help,Hotel A,positive
 the breakfast is to die for,Hotel A,negative
 and they take corrections without prejudice,Hotel A,positive
this is a great place and the managers of this hotel seems to also have the family theme at the back of their minds,Hotel A,positive
" when you make a report, the management seems to respond quickly",Hotel A,neutral
 great place,Hotel A,positive
"prime restaurant: ambience is good, polite staff, food tasted good though the salmon appetiser was a bit too salty",Hotel A,positive
 bring back the steamed hand towels please,Hotel A,positive
" overall, as first timers, we were pleasantly surprised",Hotel A,positive
 👍,Hotel A,neutral
cool experience but i couldn't get my complementary breakfast brought to my room,Hotel A,positive
it has different halls you can use to host events,Hotel A,neutral
 the halls have huge capacity,Hotel A,positive
" the environment is is beautiful one as well, and they have good security",Hotel A,positive
very nice place and silent area,Hotel A,positive
 i love there service,Hotel A,positive
"my experience there was nothing short of excellence from environment to everything, just some senior staff that sour my experience with their overzealousness, that why am giving a 4 star and not 5",Hotel A,negative
one of the very good 5 star hotel you can think of going,Hotel A,positive
 it's high class yes but it's worth the money,Hotel A,positive
 events are going on in different areas of the building,Hotel A,neutral
 lots of restaurants are available around there,Hotel A,neutral
" enough space, serene environment",Hotel A,positive
 they have very good sound system available on request,Hotel A,positive
 i think it comes with the package of what you paid,Hotel A,neutral
 swimming pool too is good,Hotel A,positive
" if you have the money, it's worth visiting",Hotel A,positive
i went for sunday brunch,Hotel A,neutral
"the service was great, michael was our host,he was very courteous and professional",Hotel A,positive
"rating the food 5/10, it was ok",Hotel A,positive
"this is still one of the best place to be, car park, restaurant, event place, swimming pool and lots more",Hotel A,positive
"other related services for banking, local transportation and access to local food stores and shops ,food vendors and fx are within range if you have a reliable guide and resources information mobile application",Hotel A,neutral
it was an okay experience,Hotel A,positive
"amazing view, polite attendants and a good sense of security",Hotel A,positive
  i visited a few of their regular rooms which were a bit okay but the toilets in the regular rooms were quite small in my opinion,Hotel A,positive
  i think they can do better with how first timers can locate their main buildings because they have quite a big compound,Hotel A,positive
"nice ambience, big and well equipped",Hotel A,positive
 but very overpriced for the amenities and services they provide,Hotel A,neutral
 i have stayed here several times as it’s quite close to my meeting point,Hotel A,neutral
" rooms are spacious, very clean and lovely views of the pool and beach",Hotel A,positive
the bathroom has everything you’d need for a short stay (aside toothpaste or brush),Hotel A,neutral
wifi is a little slower than normal but still manageable,Hotel A,neutral
 there’s no mini bar,Hotel A,negative
 only a bottle of water in the room,Hotel A,neutral
" you have to call for iron, no bathrobe nor slippers except you call",Hotel A,negative
the lightings in the rooms need an upgrade to brighter lights and the lights directly over the television completely removed,Hotel A,positive
 services are slow,Hotel A,neutral
" checked into a suite and phones weren’t working, went to reception to complain, it took over 2 hours before someone came to check and only one was fixed",Hotel A,negative
 theres no internal communication amongst the staff,Hotel A,negative
" there’s no engineer on night duty, the safe box wouldn’t open so i had to wait for the engineer to get to work at 7:30am before i could check out to catch a flight",Hotel A,positive
 i hope the hotel improves,Hotel A,positive
" overall, a nice hotel but over priced for the room quality and the slow service they render",Hotel A,positive
"main hotel rooms need updating, at the  minimum usb outlets to power phones",Hotel A,neutral
" also, the hotel should give more than 1 water bottle a day if they want to compete with the major chains",Hotel A,positive
 restaurants and entertainment is great and they poolside is one of the best!,Hotel A,positive
"great breakfast (buffet), prompt service response and beautiful location, however, unnecessarily expensive, rowdy reception and damp rooms/corridors",Hotel A,positive
5 star experience in a serene location,Hotel A,positive
 it stands out with a beautiful atlantic ocean side view,Hotel A,positive
a very comfortable place 💪 full air condition✍️beautiful rooms🙆😁,Hotel A,positive
exit security tried charging us even though we just dropped an item off,Hotel A,positive
 said 500 for parking,Hotel A,neutral
 dont know if that's a thing with the hotel but that's disgraceful,Hotel A,neutral
"a good  and nice place for you businesses exhibition, conferences and so on",Hotel A,positive
beautiful hotel,Hotel A,positive
tasty menus and i loved the pool side,Hotel A,positive
" in all, a great place to be",Hotel A,positive
nice serene environment with plenty of roomy space,Hotel A,positive
 hall used for event was sound proof,Hotel A,neutral
"very lovely, signature bar was top notch, have a convention hall very recommend for meeting though it’s expensive",Hotel A,positive
"it's comfort, luxury and peace of mind that you can't get from home, with natural food and wonderful suits",Hotel A,positive
eko hotel was a good experience,Hotel A,positive
 the services were well delivered,Hotel A,positive
it was a very fantastic time there,Hotel A,positive
 love to go there over and over again,Hotel A,positive
very cool and calm environment,Hotel A,positive
i love my stay with them,Hotel A,positive
eko hotel one of the foremost 5 star hotels in nigeria,Hotel A,neutral
 it's situated in the heart of the victoria island and the night life around it its on surplus,Hotel A,positive
eko hotel's memory will have a lasting impact,Hotel A,neutral
 the service is exceptionally great,Hotel A,positive
 the complementary buffet breakfast for lodging is also superb,Hotel A,positive
 one striking thing about my stay in eko hotel was that pressing iron was unbelievably made available for me to iron my rumpled shirt dousing my worries of looking unkept for a meeting,Hotel A,negative
" for business executives, eko hotel is could be a life saver within minutes of a business pitch",Hotel A,neutral
" just dial laundry, the guys are very helpful with their services",Hotel A,positive
" nice ambience, good hotwater bath tub, tasty meals",Hotel A,positive
 everything nice!!! truly a delightful stay,Hotel A,positive
 there's also a non-smokers wing if you can't put up with smells from cigarettes,Hotel A,neutral
beautiful place,Hotel A,positive
loads of activities holding there and among the 5star hotel in lagos,Hotel A,neutral
a safe haven,Hotel A,positive
awesome experience altogether,Hotel A,positive
"  well space car park, hall setting",Hotel A,positive
i had lunch at eko hotel and suites and was impressed with the infrastructure,Hotel A,positive
 it was beautiful and quite a big place,Hotel A,positive
 it had four huge building with different offerings and several restaurants,Hotel A,positive
 the restaurant i settled for was by a big pool with an inner lounge offering buffet and an outdoor space offering a la carte,Hotel A,neutral
the employees are nice and helpful although the restaurant service was below what you get in any eatery in south africa,Hotel A,positive
 the waiter did not seem to have an appreciation of the menu and there were no candles or any solution to deter flies from invading the food,Hotel A,positive
on a brighter side the place was buzzing with people an indicator that the offerings were good,Hotel A,positive
i didn’t explore any other thing except for the good lunch i had so i don’t have much improve or reduce the average score,Hotel A,positive
"a hotel that give you joy and happiness, good place to go",Hotel A,positive
"right from the main entrance, this hotel is different from others",Hotel A,neutral
 with courteous staff at each point,Hotel A,positive
 large parking space makes it convenient for visitors to choose the location to drop their cars,Hotel A,negative
 the halls for meetings were good with a/c cooling,Hotel A,positive
 water dropping from the roof was noted at a point,Hotel A,neutral
 i hope that is fixed soon,Hotel A,positive
the room was good with bed well laid and comfortable,Hotel A,positive
 i couldn't get fome channels to watch which i had anticipated from an international hotel as this,Hotel A,neutral
 the bathroom can slso do with a shower door or curtain to stop water spilling beside the ceramic throne and the corridor,Hotel A,negative
"the buffet breakfast, lunch and dinner were all on point",Hotel A,neutral
 i give 5 stars for that alone,Hotel A,negative
 friday night buffet with live music is an excellent concept,Hotel A,positive
 keep it up,Hotel A,neutral
"same ol, same ol",Hotel A,neutral
 most crowded hotel in all of lagos,Hotel A,neutral
" can be a lil nerve-racking, topped with average service",Hotel A,neutral
an exciting experience,Hotel A,positive
 a cynosure of the lagos night life,Hotel A,neutral
"cozy rooms, nice sit out, friendly attendant,  sumptuous food and nice environment",Hotel A,positive
"welcoming, neat, and awesome environment",Hotel A,positive
just that the electricity keeps tripping off,Hotel A,neutral
the convention centre is a five-star event centre,Hotel A,neutral
 enough parking space and smack in the centre of town for those that can afford it,Hotel A,neutral
exclusive and luxuriant,Hotel A,positive
 i have known this place for almost 40 years from when i was in primary school,Hotel A,neutral
been to this beautiful space multiple times and the feeling was always different (positively of course),Hotel A,positive
"haven’t passed the night here yet but i’ve attended several events and they’ve never disappointed me, not once",Hotel A,positive
"the organization, protocol, serenity and ambience does it for me, always",Hotel A,neutral
i truly appreciate the undisturbed flow of traffic (human and vehicular) in and out of this space which allows for several activities to take place concurrently without any interference of any sort,Hotel A,positive
 it’s very impressive,Hotel A,positive
"mostly been here for conferences and the likes which includes tea breaks and lunch most times, yeah, the service was orderly and the meals were equally enjoyable",Hotel A,positive
"here’s your cue to host your world class events, conferences, programs and the likes at eko hotels & suites",Hotel A,positive
thank me now 😉✌️,Hotel A,positive
"if i should write my experience about eko hotel i will a book, eko hotel is the one of the best place if not the best in lagos",Hotel A,positive
" from the environment to the service are top notch, it's a home away from home",Hotel A,positive
" the dishes are awesome and the bar is a vibe on it own, eko hotel is definitely a good place to be",Hotel A,positive
"the place is good, and is very nice lovely and conducive",Hotel A,positive
"always on point, the services have improved compared to my last visit",Hotel A,positive
you can always find your happy spot to chill!,Hotel A,positive
one of the best and most popular hotels in lagos,Hotel A,positive
 you sure can't miss it,Hotel A,positive
great event and nice rooms! could be pricey here but this facility defines hospitality in lagos!,Hotel A,positive
i'm always amazed at the hotel's ability to continually recreate their environment,Hotel A,positive
like the ever expanding universe,Hotel A,positive
 kudos to the team,Hotel A,positive
the rooms and bathrooms do need to continually be fixed up,Hotel A,neutral
 maintenance dept needs to keep up with needed repairs - or perhaps room service needs to be meticulous to report areas needing repairs,Hotel A,neutral
"overall though, it's one hotel on the island one is sure of overall good hospitality",Hotel A,positive
 👍,Hotel A,neutral
5star hotel in the economy nerve center of africa in lagos stateit's widely known for the 5star hospitality industry in victoria island lagos,Hotel A,neutral
eko hotels has a very serene environment and a very elegant outlook,Hotel A,positive
another innovation i think they should implement is changing their room tv screens to smart tv,Hotel A,positive
 this is give us clearer pictures quality and ability for us to connect to the internet and explore other viewers options,Hotel A,positive
thanks so much,Hotel A,positive
everything is top notch,Hotel A,positive
great environment,Hotel A,positive
but my car was bathed and rear light broken and also the securities are claiming ignorance,Hotel A,negative
 no cctv footage to present,Hotel A,negative
 so sad,Hotel A,negative
"the whole environment is so appealing with tall trees and flowers, tarred and interlocked pavements and roads",Hotel A,neutral
 car park is top notch,Hotel A,positive
" eko hotel and suites really a 5 star hotel with international standards, although it's expensive as expected but it's really nice place to visit",Hotel A,positive
awesome as usual,Hotel A,positive
i must commend the security operations and how very respectful they are at eko hotel,Hotel A,positive
 driving through the garden complex and the signature was quite an urban experience,Hotel A,neutral
there are more than enough carparks with little or no hassle to make it through,Hotel A,negative
"i'll share more updates here, when i finally make it into their rooms, pool, halls and restaurants",Hotel A,positive
" although, i've been to the club ""cross roads"" about 3 years back and had a wonderful time and experience",Hotel A,positive
you should visit if your pocket is right,Hotel A,neutral
so much fun and good value for money,Hotel A,positive
i love eko ,Hotel A,positive
the view is madddd beautiful,Hotel A,positive
"every amenity and hospitality service(s) here; inclusive of the serene ambience is 95% legit, on point, and top-notch",Hotel A,positive
 you will get the message right from the entrance/exit of the main gate,Hotel A,neutral
 the coordination and helpful guidance dispensed by her security personnel and other staff give one a sense of confidence and comfort,Hotel A,positive
 they only need to work on the sensors that trigger the flush system on the urinary bowl for men,Hotel A,neutral
"however, my last visit here was one of the best moments of my life",Hotel A,positive
"and again i still find it hard to imagine a hotel that is as old as time and still can house mind-blowing innovation and state-of-the-art amenities, cum tech support",Hotel A,positive
 a wonder to ponder,Hotel A,neutral
"🤔🤔life here is very expensive though, but, eko 🏨 & $uites will always give you a golden memory to keep",Hotel A,neutral
" if you know, you know",Hotel A,neutral
😊😊🇳🇬,Hotel A,positive
"it is a 5 star hotel, the best and the biggest hotel in nigeria",Hotel A,positive
they have well trained staff who are professional,Hotel A,positive
 easy access but the traffic going out was long and slow,Hotel A,positive
eko signature is a nice comfortable hotel with impressive views of the city,Hotel A,positive
 i love the quietness of the rooms and hallways,Hotel A,positive
 the staff are very polite,Hotel A,neutral
" i wasn't impressed with the service generally, had to wait a long time for any service",Hotel A,negative
 i had to call about four times in three hours to get someone to open the fridge in my room when i checked in,Hotel A,neutral
 room cleaning from when it was requested to when it was done took hours,Hotel A,neutral
" also, the phone numbers listed for reservations are hardly answered",Hotel A,neutral
 i had to send someone there to physically make the reservation,Hotel A,neutral
 what i kept hearing were apologies,Hotel A,neutral
 i can't believe how a hotel this expensive has such disappointing service,Hotel A,negative
 granted its a festive season with lots of guests but still it can be better,Hotel A,positive
i loved the experience,Hotel A,positive
 the facilities were all intact and functioning in the room,Hotel A,positive
 the wardrobe space was adequate for myself and spouse,Hotel A,positive
 the staff at the reception were helpful and respectful,Hotel A,positive
the service at breakfast which was a buffet was near excellent,Hotel A,positive
 the breakfast offerings were numerous and the service was fast and flowing like a well oiled factory plant,Hotel A,positive
 i was really impressed despite the number of people at the restaurant,Hotel A,positive
i also used the spa facility and the service was very good,Hotel A,positive
 the staff were professional and had a very good experience,Hotel A,positive
i really enjoyed myself lodging there,Hotel A,positive
 excellent customer and room services,Hotel A,positive
 dishes were of international standard,Hotel A,neutral
 spectacular scenes to behold from the roof top bar and pool side,Hotel A,positive
 the atmosphere is cool and serene with good country music to nod and dance to,Hotel A,positive
 a nice place to be!!!,Hotel A,positive
good enough,Hotel A,positive
 not brilliant amd services are going down steadily,Hotel A,negative
i attended the àṣàkẹ́ concert and wizkid/ big wiz concerts,Hotel A,neutral
facilities were good,Hotel A,positive
eko hotel has good service but their facilities are showing their age,Hotel A,positive
 i like the way their housekeeping clean and arrange the room without attempting to pick at your personal belongings,Hotel A,positive
 the food tastes good and with broad variety,Hotel A,positive
very spacious,Hotel A,neutral
 enough parking space and the convention center is super huge,Hotel A,positive
"beautiful place, same as when i first visited with my father 43 years ago as a child",Hotel A,positive
 it brought back so many memories,Hotel A,neutral
 how on earth did they manage to keep up the quality?,Hotel A,neutral
"is nice, but too expensis than what we're seeing jare",Hotel A,positive
"one of nigerias best places you can think of having your business meetings, events, luxury vacations and tour",Hotel A,positive
" it's classy, highly and professional services, luxury and more",Hotel A,positive
"it was a lovely and wonderful experience, i had fun",Hotel A,positive
a great place for premium hotel services,Hotel A,positive
pros:-the grounds are beautiful with large parking space- easily accessible and located in the business district in vicons:- the standard room of the original eko hotel is very basic,Hotel A,positive
 eko signatures is newer with better facilities- the road leading to the hotel is prone to congestion at peak periods- hotel can be quite rowdy during events or conferences which could pose a safety/ security challenge especially for families with little kids,Hotel A,positive
"i was confused at first but immediately u asked a security guard, he directed me to the conference hall perfectly",Hotel A,positive
resort-style hotel(s) and building with varying levels(per price/luxury),Hotel A,neutral
 eko hotel signature is the top tier,Hotel A,positive
couple of different restaurants and a bar on site with indoor and outdoor sitting by the pool(cabana) available,Hotel A,neutral
 pricey though,Hotel A,neutral
holds lots of concerts and parties with popular artists,Hotel A,positive
best pastries in the area,Hotel A,positive
eko hotel signature- not a fan of their limited breakfast,Hotel A,negative
" staff such as michael, bukky are a great resource",Hotel A,positive
"staff are generally polite and professional, but lebanese managers are bullies- screams, yells at the staff",Hotel A,negative
"general manager on site notified of abuse of staff multiple times, but doesn’t seem to care",Hotel A,positive
 i guess a norm here,Hotel A,neutral
"maintenance of bathrooms, showers is a struggle, stains and leakage",Hotel A,negative
proper management may help,Hotel A,positive
overall- surrounding is safe and lively,Hotel A,positive
one of the best in lagos if you want something top notch and have got the cash to spend,Hotel A,positive
"recommend this hotel to anyone that has 💰 🤑 💸 💲 🪙 💶, you will enjoy every bit of it, trust me, this hotel is the best",Hotel A,positive
i was at an event,Hotel A,neutral
 didn't lodge,Hotel A,neutral
the hall was good for the event and the setup was top notch,Hotel A,positive
could be a bit clumsy to locate the restroom tho,Hotel A,neutral
it's an old hotel but well maintained,Hotel A,positive
 i love the pool area especially,Hotel A,positive
 the water is so clean and clear that one can see the hotel's logo at the bottom,Hotel A,positive
i heard a lot about this hotel but finally had the privilege to visit,Hotel A,positive
 unfortunately i didn't stay so i cannot give an accurate picture of the experience,Hotel A,negative
" however, from a visiting guest perspective, the hotel seemed rowdy because visitors like me can swing by and grab food and drinks",Hotel A,positive
 i will review this hotel again with photos when i stay as a guest soon,Hotel A,neutral
excellent experience but you need to pay parking,Hotel A,positive
nice and spacious hotel,Hotel A,positive
 location is close to the business hub,Hotel A,neutral
 both the hectic traffic situation can be a challenge during rush hours,Hotel A,positive
nice place for a conference,Hotel A,positive
i didn't have a good time in the toilet tho,Hotel A,negative
"beautiful, grand and exquisite! this place is indeed worth the 5-star rating and hype",Hotel A,positive
beautiful scenery and carefully built structures/architecture; the place is well secured in the heart of victoria island,Hotel A,positive
" with multiple ballrooms and halls for events, there's a constant flow of people - local and international - going and coming",Hotel A,neutral
"the rooms are clean, very comfortable, can take advantage of the location to walk to dinner, check out a couple galleries, and have drinks",Hotel A,positive
 it's great,Hotel A,positive
 service top notch as always,Hotel A,positive
" bed comfort can not be beaten, and the staff are amazing, they go over and beyond to help make our stay enjoyable",Hotel A,positive
 i highly recommend this hotel for anyone visiting lagos regardless of the price per day,Hotel A,positive
 it's a nice place in general,Hotel A,positive
"eko hotel & suites is well conducive environment , spacious , located in a conducive atmosphere",Hotel A,positive
"to be sincere i have only been passing outside this place and hearing about it alone not on till now, it's really an amazing place to be although i have visited a lot of big hotels i think this is one among my top rated, very professional staff very free and ventilated areas fantastic eye catching environment, with much big and high important guests 😁 they are lot to talk about but i don't think it's necessary see it for ur self just love the treatment they if you have ur money but if not ehhm i think maybe u just want to collect wototo 😁🤣💯",Hotel A,positive
i loved the ambiance of the place and the serene environment 😁😁,Hotel A,positive
"this is a good place for adults to party, but  it is not really safe too because the pool is wide opened   no fence  around",Hotel A,negative
"   i went there last saturday and a child's birthday was holding right beside the pool , with children that couldn't all swim and the chocking part is that they had a giant balloon that kept entering the pool",Hotel A,neutral
 please let the management ensure that  some people guard the pool next time a party is holding,Hotel A,positive
 better safe than sorry,Hotel A,positive
"as always, i really appreciate any public place with enough parking lot",Hotel A,positive
 because i like to be in an environment where my car is safe🤷🏾‍♀️… that pizza by the pool side is heavenly 🥰,Hotel A,positive
 you’ll love it here,Hotel A,positive
" go on, go have fun!",Hotel A,positive
my first visit and i find it amazing except for the book where i signed in,Hotel A,positive
was so unkept,Hotel A,neutral
a hard cover will suffice as not everyone will want to touch it looking that way,Hotel A,negative
that aside every other thing is fantastic,Hotel A,positive
clean and serene  environment,Hotel A,positive
it's a nice to be in,Hotel A,positive
 it has quite a very big space for typically anything average entertainment,Hotel A,positive
one thing odd i experienced last time was awful smell around the environment guess it's from drainage pipes or something else but the smell wasn't good at all,Hotel A,negative
every other things was awesome 👍,Hotel A,positive
management is constantly trying to improve your experience,Hotel A,positive
i'm all for the buffet,Hotel A,neutral
 it's a nice avenue to dine and chill,Hotel A,positive
" you're not in a hurry to go anywhere, eat well and socialize well",Hotel A,positive
great events space,Hotel A,positive
food is great too,Hotel A,positive
always a pleasure to spwnd time here the ambience is killing,Hotel A,negative
avoid the buffets at all cost,Hotel A,negative
"management appeared attentive but showed apathy by ignoring his offer, didn't reply to the email for follow-up and the staff worked harder to make amends for the uneventful mexican food offered on the $25k naira per person buffett",Hotel A,negative
* food was luke warm to tepid at best,Hotel A,positive
* no real direction nor order on where to eat or enter,Hotel A,negative
* fried food should be served hot,Hotel A,neutral
 fresh* tables were not cleared and we arrived at the start of the buffet event* chef tried when i met with him,Hotel A,positive
 our server was good when we got one,Hotel A,positive
 he stuck it out until it was time to go home,Hotel A,negative
"i was okay with just making do until the locals said the native dishes were not good, either",Hotel A,negative
" it's a sham because i did expect more since they charge top prices, advertise expensive events and label themselves 4-5stars",Hotel A,positive
 i'm shocked locals entertain such given their wealth and ability,Hotel A,positive
 just go over to padrino's should you have a mexican craving,Hotel A,neutral
"rooms are lovely and conducive, had a nice night with friends",Hotel A,positive
"the payment system was not working and was debited on 8th of may, but  told that my card did not go through at the restaurant",Hotel A,neutral
" had to make a  further cash payment again, and after almost a month of appealing against such unsavory custom service, i still have not got a refund on my card payment or even an apology",Hotel A,negative
 still waiting on my refund,Hotel A,neutral
 i personally think this erodes your brand capital,Hotel A,neutral
it's a very nice place hotel and clean,Hotel A,positive
very good and copretive staff,Hotel A,positive
their event facilities are great!i've never been to any eko hotel room but i've booked it for people and i hear the experience is great,Hotel A,positive
"i have, however, used their even halls on many occasions and they are great",Hotel A,positive
" the staff are also generally okay - organised, detailed, helpful",Hotel A,positive
the halls are soundproofed,Hotel A,neutral
" so even if they are having events in five halls at a time, you can't hear the noise from the other halls even if they are adjoining rooms",Hotel A,neutral
 i appreciate and respect that,Hotel A,positive
 you can't even hear a heavy downpour if you are within the facility,Hotel A,neutral
pricing for halls is also fair relative to other competitor hotels on the island,Hotel A,positive
a recommendation though would be to have a safe storage for event props and ish so organisers don't have to move items especially in situations where an event runs for more than one day,Hotel A,positive
 they typically tell you to pack your items (excluding heavy items or fixture) and bring them the next day because they cannot guarantee the security of the items,Hotel A,negative
 they can do better,Hotel A,positive
they also have a shuttle to take you from one building or location within the facility to another,Hotel A,neutral
 or say it's raining and you need a quick ride within the facility,Hotel A,neutral
"this is a good hotel in lagos, nigeria",Hotel A,positive
 i stayed here with a large group and they did a great job accommodating us,Hotel A,positive
 the food is delicious and the pool and views are amazing,Hotel A,positive
 the power did go out a few times during our stay,Hotel A,neutral
 that’s really the only downside,Hotel A,negative
 everything else was great:,Hotel A,positive
nice hotel within the environment,Hotel A,positive
 pretty spendy,Hotel A,positive
" but i feel that you can enjoy the area around there if you're interested in checking out some art galleries,  or asking the front desk for a shuttle to the beach ⛱,  just watch out for the drivers they lurk around there",Hotel A,positive
  they will overcharge you if they can,Hotel A,neutral
