sentence,hotel_name,Sentiment,review_topic
their buffet is delicious and very affordable,Eko Hotel,positive,Serene Environment
 food was well arranged and the waiters were too courteous,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
great place to stay,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 cool reception,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 nice ambience and indeed relaxing after a hectic lagos day out! you'll love the experience and will worth the effort,Eko Hotel,positive,Leisure and Relaxation
i usually recommend eko hotel for any event,Eko Hotel,positive,Leisure and Relaxation
" the car park, space and ambience is topnotch",Eko Hotel,neutral,Event and Conference Spaces
 though i feel the general toilet where men do number 2 can be cleaner,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
stayed at signature,Eko Hotel,neutral,Welcoming Staff and Comfortable Stay
" the aesthetics is great but they wanted to take an hour to make fries lol, just",Eko Hotel,positive,Leisure and Relaxation
"idk if it’s first day syndrome or idk the elevator wasn’t working and they don’t have stairs to goup, just the elevator",Eko Hotel,negative,Room Quality and Standards
it was wonderful  visiting  eko hotels  again and again,Eko Hotel,positive,Leisure and Relaxation
  beautiful  and entertaining environment ,Eko Hotel,positive,Serene Environment
 good food,Eko Hotel,positive,Delightful Food and Home-like Feel
 good services,Eko Hotel,positive,Excellent Service and Hospitality
  wonderful staffs,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"the hotel is very spacious but their car park is not enough for the customers, also, more security personnel are needed to direct new customers to avoid wonderers",Eko Hotel,positive,Event and Conference Spaces
wow!eko hotel is as beautiful and as comfortable as they get,Eko Hotel,positive,Leisure and Relaxation
it is a 5-star hotel and you sure get that 5-stqr treatment,Eko Hotel,positive,Room Quality and Standards
where do i begin from?the complimentary buffet breakfast that has an array of local and intercontinental dishes?or the beautiful bonding moments created due to the cozy nature of the rbg restaurant on the ground floor of the suites?the amazing security and their attention to details?the properly air-conditioned rooms?the spacious suite?the attention to details?the accessible roads?eko hotels ticks all the boxes for me,Eko Hotel,positive,Delightful Food and Home-like Feel
"if you are coming to lodge here, you need to know that there are 4 'hotels' in this '1 hotel', so, you can choose appropriately",Eko Hotel,neutral,Leisure and Relaxation
i loved the meals! i loved the ambience,Eko Hotel,positive,Event and Conference Spaces
the facility is wheelchair-accessiblethere is a recycling bin on every floor too,Eko Hotel,neutral,Excellent Service and Hospitality
fantastic experience,Eko Hotel,positive,Beautiful Views and Dining Experiences
buffet breakfast is top notch ,Eko Hotel,positive,Excellent Service and Hospitality
the dj at the red restaurant  at eko hotels  is the best ,Eko Hotel,positive,Beautiful Views and Dining Experiences
rooms extremely clean and well taken care off ,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
the landry service was  fabulous,Eko Hotel,positive,Excellent Service and Hospitality
"got the room facing the waterfront, lovely view i must say but for 100k a night the room was rather  small",Eko Hotel,positive,Beautiful Views and Dining Experiences
 they can do better with appliances though,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 the kettle in the room was not working and i need to boil some water for coffee,Eko Hotel,neutral,Room Quality and Standards
 the breakfast buffet can be better,Eko Hotel,positive,Delightful Food and Home-like Feel
" no chicken, beef, turkey or fish was in sight at breakfast",Eko Hotel,negative,Delightful Food and Home-like Feel
 just some fish sauce and sausages,Eko Hotel,neutral,Delightful Food and Home-like Feel
eko hotel is defined as a happening place,Eko Hotel,neutral,Leisure and Relaxation
 hahaha,Eko Hotel,positive,Serene Environment
 i love the environment,Eko Hotel,positive,Serene Environment
 most especially the ambience at night and beautiful coffee shop therein,Eko Hotel,positive,Beautiful Views and Dining Experiences
 no other way to talk about the room service but wow!!! they give you a kingly treatment,Eko Hotel,positive,Room Quality and Standards
" come with you babe, family, and friends and trust me, you will always want to return with an anticipation that always results to happiness",Eko Hotel,positive,Leisure and Relaxation
"too run down, outdated,  needs major revamp of the hotel and facilities",Eko Hotel,neutral,Room Quality and Standards
 i wouldn't book here for any function and pricy for what you get,Eko Hotel,neutral,Leisure and Relaxation
"it was a nice, welcoming environment, with different things to enjoy",Eko Hotel,positive,Room Quality and Standards
i watched the arise fashion show and spent the night,Eko Hotel,neutral,Leisure and Relaxation
the food service during the show was slow and disorganized,Eko Hotel,negative,Excellent Service and Hospitality
the room service was much better,Eko Hotel,positive,Excellent Service and Hospitality
"one of the greatest business hub in  lagos state with numerous businesses at a goal, eko hotel is just like living in 9 star ✨ hotel",Eko Hotel,positive,Serene Environment
 one of the biggest hotel in lagos and  nigeria,Eko Hotel,neutral,Event and Conference Spaces
"it acomodates foreigners than any other hotels in logos, it is also location at the heart beat of lagos close to beach",Eko Hotel,positive,Serene Environment
the environment is top notch and second to none,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
" there is a big swimming pool, sports center, different continental dishes restaurant, a mini art shop at the entrance, numerous event halls and meeting halls, if there is anywhere to visit and have the vibe that you are outside the country just visiting eko hotel and suites",Eko Hotel,neutral,Event and Conference Spaces
the security is very tight and open to all 24/7,Eko Hotel,positive,Excellent Service and Hospitality
i have been there since saturday and everything and everyone is nice but their customer care is quite slow ,Eko Hotel,positive,Excellent Service and Hospitality
 it takes a lot of time for them to answer when you call them to help,Eko Hotel,positive,Leisure and Relaxation
 the breakfast is to die for,Eko Hotel,negative,Delightful Food and Home-like Feel
 and they take corrections without prejudice,Eko Hotel,positive,Leisure and Relaxation
this is a great place and the managers of this hotel seems to also have the family theme at the back of their minds,Eko Hotel,positive,Leisure and Relaxation
" when you make a report, the management seems to respond quickly",Eko Hotel,neutral,Delightful Food and Home-like Feel
 great place,Eko Hotel,positive,Serene Environment
"prime restaurant: ambience is good, polite staff, food tasted good though the salmon appetiser was a bit too salty",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 bring back the steamed hand towels please,Eko Hotel,positive,Room Quality and Standards
" overall, as first timers, we were pleasantly surprised",Eko Hotel,positive,Leisure and Relaxation
 👍,Eko Hotel,neutral,Serene Environment
cool experience but i couldn't get my complementary breakfast brought to my room,Eko Hotel,positive,Leisure and Relaxation
it has different halls you can use to host events,Eko Hotel,neutral,Event and Conference Spaces
 the halls have huge capacity,Eko Hotel,positive,Event and Conference Spaces
" the environment is is beautiful one as well, and they have good security",Eko Hotel,positive,Beautiful Views and Dining Experiences
very nice place and silent area,Eko Hotel,positive,Serene Environment
 i love there service,Eko Hotel,positive,Excellent Service and Hospitality
"my experience there was nothing short of excellence from environment to everything, just some senior staff that sour my experience with their overzealousness, that why am giving a 4 star and not 5",Eko Hotel,negative,Beautiful Views and Dining Experiences
one of the very good 5 star hotel you can think of going,Eko Hotel,positive,Event and Conference Spaces
 it's high class yes but it's worth the money,Eko Hotel,positive,Leisure and Relaxation
 events are going on in different areas of the building,Eko Hotel,neutral,Event and Conference Spaces
 lots of restaurants are available around there,Eko Hotel,neutral,Event and Conference Spaces
" enough space, serene environment",Eko Hotel,positive,Serene Environment
 they have very good sound system available on request,Eko Hotel,positive,Event and Conference Spaces
 i think it comes with the package of what you paid,Eko Hotel,neutral,Leisure and Relaxation
 swimming pool too is good,Eko Hotel,positive,Serene Environment
" if you have the money, it's worth visiting",Eko Hotel,positive,Leisure and Relaxation
i went for sunday brunch,Eko Hotel,neutral,Event and Conference Spaces
"the service was great, michael was our host,he was very courteous and professional",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"rating the food 5/10, it was ok",Eko Hotel,positive,Delightful Food and Home-like Feel
"this is still one of the best place to be, car park, restaurant, event place, swimming pool and lots more",Eko Hotel,positive,Event and Conference Spaces
"other related services for banking, local transportation and access to local food stores and shops ,food vendors and fx are within range if you have a reliable guide and resources information mobile application",Eko Hotel,neutral,Delightful Food and Home-like Feel
it was an okay experience,Eko Hotel,positive,Beautiful Views and Dining Experiences
"amazing view, polite attendants and a good sense of security",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
  i visited a few of their regular rooms which were a bit okay but the toilets in the regular rooms were quite small in my opinion,Eko Hotel,positive,Room Quality and Standards
  i think they can do better with how first timers can locate their main buildings because they have quite a big compound,Eko Hotel,positive,Delightful Food and Home-like Feel
"nice ambience, big and well equipped",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 but very overpriced for the amenities and services they provide,Eko Hotel,neutral,Excellent Service and Hospitality
 i have stayed here several times as it’s quite close to my meeting point,Eko Hotel,neutral,Room Quality and Standards
" rooms are spacious, very clean and lovely views of the pool and beach",Eko Hotel,positive,Beautiful Views and Dining Experiences
the bathroom has everything you’d need for a short stay (aside toothpaste or brush),Eko Hotel,neutral,Room Quality and Standards
wifi is a little slower than normal but still manageable,Eko Hotel,neutral,Room Quality and Standards
 there’s no mini bar,Eko Hotel,negative,Beautiful Views and Dining Experiences
 only a bottle of water in the room,Eko Hotel,neutral,Delightful Food and Home-like Feel
" you have to call for iron, no bathrobe nor slippers except you call",Eko Hotel,negative,Room Quality and Standards
the lightings in the rooms need an upgrade to brighter lights and the lights directly over the television completely removed,Eko Hotel,positive,Room Quality and Standards
 services are slow,Eko Hotel,neutral,Excellent Service and Hospitality
" checked into a suite and phones weren’t working, went to reception to complain, it took over 2 hours before someone came to check and only one was fixed",Eko Hotel,negative,Room Quality and Standards
 theres no internal communication amongst the staff,Eko Hotel,negative,Excellent Service and Hospitality
" there’s no engineer on night duty, the safe box wouldn’t open so i had to wait for the engineer to get to work at 7:30am before i could check out to catch a flight",Eko Hotel,positive,Leisure and Relaxation
 i hope the hotel improves,Eko Hotel,positive,Excellent Service and Hospitality
" overall, a nice hotel but over priced for the room quality and the slow service they render",Eko Hotel,positive,Excellent Service and Hospitality
"main hotel rooms need updating, at the  minimum usb outlets to power phones",Eko Hotel,neutral,Room Quality and Standards
" also, the hotel should give more than 1 water bottle a day if they want to compete with the major chains",Eko Hotel,positive,Delightful Food and Home-like Feel
 restaurants and entertainment is great and they poolside is one of the best!,Eko Hotel,positive,Beautiful Views and Dining Experiences
"great breakfast (buffet), prompt service response and beautiful location, however, unnecessarily expensive, rowdy reception and damp rooms/corridors",Eko Hotel,positive,Room Quality and Standards
5 star experience in a serene location,Eko Hotel,positive,Serene Environment
 it stands out with a beautiful atlantic ocean side view,Eko Hotel,positive,Beautiful Views and Dining Experiences
a very comfortable place 💪 full air condition✍️beautiful rooms🙆😁,Eko Hotel,positive,Room Quality and Standards
exit security tried charging us even though we just dropped an item off,Eko Hotel,positive,Room Quality and Standards
 said 500 for parking,Eko Hotel,neutral,Event and Conference Spaces
 dont know if that's a thing with the hotel but that's disgraceful,Eko Hotel,neutral,Room Quality and Standards
"a good  and nice place for you businesses exhibition, conferences and so on",Eko Hotel,positive,Event and Conference Spaces
beautiful hotel,Eko Hotel,positive,Beautiful Views and Dining Experiences
tasty menus and i loved the pool side,Eko Hotel,positive,Beautiful Views and Dining Experiences
" in all, a great place to be",Eko Hotel,positive,Serene Environment
nice serene environment with plenty of roomy space,Eko Hotel,positive,Serene Environment
 hall used for event was sound proof,Eko Hotel,neutral,Event and Conference Spaces
"very lovely, signature bar was top notch, have a convention hall very recommend for meeting though it’s expensive",Eko Hotel,positive,Beautiful Views and Dining Experiences
"it's comfort, luxury and peace of mind that you can't get from home, with natural food and wonderful suits",Eko Hotel,positive,Delightful Food and Home-like Feel
eko hotel was a good experience,Eko Hotel,positive,Beautiful Views and Dining Experiences
 the services were well delivered,Eko Hotel,positive,Excellent Service and Hospitality
it was a very fantastic time there,Eko Hotel,positive,Leisure and Relaxation
 love to go there over and over again,Eko Hotel,positive,Event and Conference Spaces
very cool and calm environment,Eko Hotel,positive,Serene Environment
i love my stay with them,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
eko hotel one of the foremost 5 star hotels in nigeria,Eko Hotel,neutral,Serene Environment
 it's situated in the heart of the victoria island and the night life around it its on surplus,Eko Hotel,positive,Serene Environment
eko hotel's memory will have a lasting impact,Eko Hotel,neutral,Leisure and Relaxation
 the service is exceptionally great,Eko Hotel,positive,Excellent Service and Hospitality
 the complementary buffet breakfast for lodging is also superb,Eko Hotel,positive,Delightful Food and Home-like Feel
 one striking thing about my stay in eko hotel was that pressing iron was unbelievably made available for me to iron my rumpled shirt dousing my worries of looking unkept for a meeting,Eko Hotel,negative,Delightful Food and Home-like Feel
" for business executives, eko hotel is could be a life saver within minutes of a business pitch",Eko Hotel,neutral,Serene Environment
" just dial laundry, the guys are very helpful with their services",Eko Hotel,positive,Excellent Service and Hospitality
" nice ambience, good hotwater bath tub, tasty meals",Eko Hotel,positive,Delightful Food and Home-like Feel
 everything nice!!! truly a delightful stay,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 there's also a non-smokers wing if you can't put up with smells from cigarettes,Eko Hotel,neutral,Room Quality and Standards
beautiful place,Eko Hotel,positive,Beautiful Views and Dining Experiences
loads of activities holding there and among the 5star hotel in lagos,Eko Hotel,neutral,Event and Conference Spaces
a safe haven,Eko Hotel,positive,Delightful Food and Home-like Feel
awesome experience altogether,Eko Hotel,positive,Delightful Food and Home-like Feel
"  well space car park, hall setting",Eko Hotel,positive,Event and Conference Spaces
i had lunch at eko hotel and suites and was impressed with the infrastructure,Eko Hotel,positive,Excellent Service and Hospitality
 it was beautiful and quite a big place,Eko Hotel,positive,Beautiful Views and Dining Experiences
 it had four huge building with different offerings and several restaurants,Eko Hotel,positive,Event and Conference Spaces
 the restaurant i settled for was by a big pool with an inner lounge offering buffet and an outdoor space offering a la carte,Eko Hotel,neutral,Beautiful Views and Dining Experiences
the employees are nice and helpful although the restaurant service was below what you get in any eatery in south africa,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 the waiter did not seem to have an appreciation of the menu and there were no candles or any solution to deter flies from invading the food,Eko Hotel,positive,Delightful Food and Home-like Feel
on a brighter side the place was buzzing with people an indicator that the offerings were good,Eko Hotel,positive,Beautiful Views and Dining Experiences
i didn’t explore any other thing except for the good lunch i had so i don’t have much improve or reduce the average score,Eko Hotel,positive,Leisure and Relaxation
"a hotel that give you joy and happiness, good place to go",Eko Hotel,positive,Room Quality and Standards
"right from the main entrance, this hotel is different from others",Eko Hotel,neutral,Excellent Service and Hospitality
 with courteous staff at each point,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 large parking space makes it convenient for visitors to choose the location to drop their cars,Eko Hotel,negative,Event and Conference Spaces
 the halls for meetings were good with a/c cooling,Eko Hotel,positive,Event and Conference Spaces
 water dropping from the roof was noted at a point,Eko Hotel,neutral,Room Quality and Standards
 i hope that is fixed soon,Eko Hotel,positive,Leisure and Relaxation
the room was good with bed well laid and comfortable,Eko Hotel,positive,Room Quality and Standards
 i couldn't get fome channels to watch which i had anticipated from an international hotel as this,Eko Hotel,neutral,Room Quality and Standards
 the bathroom can slso do with a shower door or curtain to stop water spilling beside the ceramic throne and the corridor,Eko Hotel,negative,Room Quality and Standards
"the buffet breakfast, lunch and dinner were all on point",Eko Hotel,neutral,Leisure and Relaxation
 i give 5 stars for that alone,Eko Hotel,negative,Serene Environment
 friday night buffet with live music is an excellent concept,Eko Hotel,positive,Delightful Food and Home-like Feel
 keep it up,Eko Hotel,neutral,Room Quality and Standards
"same ol, same ol",Eko Hotel,neutral,Serene Environment
 most crowded hotel in all of lagos,Eko Hotel,neutral,Excellent Service and Hospitality
" can be a lil nerve-racking, topped with average service",Eko Hotel,neutral,Excellent Service and Hospitality
an exciting experience,Eko Hotel,positive,Beautiful Views and Dining Experiences
 a cynosure of the lagos night life,Eko Hotel,neutral,Beautiful Views and Dining Experiences
"cozy rooms, nice sit out, friendly attendant,  sumptuous food and nice environment",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"welcoming, neat, and awesome environment",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
just that the electricity keeps tripping off,Eko Hotel,neutral,Room Quality and Standards
the convention centre is a five-star event centre,Eko Hotel,neutral,Event and Conference Spaces
 enough parking space and smack in the centre of town for those that can afford it,Eko Hotel,neutral,Event and Conference Spaces
exclusive and luxuriant,Eko Hotel,positive,Event and Conference Spaces
 i have known this place for almost 40 years from when i was in primary school,Eko Hotel,neutral,Excellent Service and Hospitality
been to this beautiful space multiple times and the feeling was always different (positively of course),Eko Hotel,positive,Delightful Food and Home-like Feel
"haven’t passed the night here yet but i’ve attended several events and they’ve never disappointed me, not once",Eko Hotel,positive,Leisure and Relaxation
"the organization, protocol, serenity and ambience does it for me, always",Eko Hotel,neutral,Welcoming Staff and Comfortable Stay
i truly appreciate the undisturbed flow of traffic (human and vehicular) in and out of this space which allows for several activities to take place concurrently without any interference of any sort,Eko Hotel,positive,Event and Conference Spaces
 it’s very impressive,Eko Hotel,positive,Delightful Food and Home-like Feel
"mostly been here for conferences and the likes which includes tea breaks and lunch most times, yeah, the service was orderly and the meals were equally enjoyable",Eko Hotel,positive,Delightful Food and Home-like Feel
"here’s your cue to host your world class events, conferences, programs and the likes at eko hotels & suites",Eko Hotel,positive,Event and Conference Spaces
thank me now 😉✌️,Eko Hotel,positive,Event and Conference Spaces
"if i should write my experience about eko hotel i will a book, eko hotel is the one of the best place if not the best in lagos",Eko Hotel,positive,Leisure and Relaxation
" from the environment to the service are top notch, it's a home away from home",Eko Hotel,positive,Delightful Food and Home-like Feel
" the dishes are awesome and the bar is a vibe on it own, eko hotel is definitely a good place to be",Eko Hotel,positive,Leisure and Relaxation
"the place is good, and is very nice lovely and conducive",Eko Hotel,positive,Beautiful Views and Dining Experiences
"always on point, the services have improved compared to my last visit",Eko Hotel,positive,Excellent Service and Hospitality
you can always find your happy spot to chill!,Eko Hotel,positive,Beautiful Views and Dining Experiences
one of the best and most popular hotels in lagos,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 you sure can't miss it,Eko Hotel,positive,Leisure and Relaxation
great event and nice rooms! could be pricey here but this facility defines hospitality in lagos!,Eko Hotel,positive,Excellent Service and Hospitality
i'm always amazed at the hotel's ability to continually recreate their environment,Eko Hotel,positive,Serene Environment
like the ever expanding universe,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 kudos to the team,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
the rooms and bathrooms do need to continually be fixed up,Eko Hotel,neutral,Room Quality and Standards
 maintenance dept needs to keep up with needed repairs - or perhaps room service needs to be meticulous to report areas needing repairs,Eko Hotel,neutral,Room Quality and Standards
"overall though, it's one hotel on the island one is sure of overall good hospitality",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 👍,Eko Hotel,neutral,Serene Environment
5star hotel in the economy nerve center of africa in lagos stateit's widely known for the 5star hospitality industry in victoria island lagos,Eko Hotel,neutral,Serene Environment
eko hotels has a very serene environment and a very elegant outlook,Eko Hotel,positive,Serene Environment
another innovation i think they should implement is changing their room tv screens to smart tv,Eko Hotel,positive,Room Quality and Standards
 this is give us clearer pictures quality and ability for us to connect to the internet and explore other viewers options,Eko Hotel,positive,Leisure and Relaxation
thanks so much,Eko Hotel,positive,Delightful Food and Home-like Feel
everything is top notch,Eko Hotel,positive,Excellent Service and Hospitality
great environment,Eko Hotel,positive,Serene Environment
but my car was bathed and rear light broken and also the securities are claiming ignorance,Eko Hotel,negative,Delightful Food and Home-like Feel
 no cctv footage to present,Eko Hotel,negative,Room Quality and Standards
 so sad,Eko Hotel,negative,Delightful Food and Home-like Feel
"the whole environment is so appealing with tall trees and flowers, tarred and interlocked pavements and roads",Eko Hotel,neutral,Serene Environment
 car park is top notch,Eko Hotel,positive,Excellent Service and Hospitality
" eko hotel and suites really a 5 star hotel with international standards, although it's expensive as expected but it's really nice place to visit",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
awesome as usual,Eko Hotel,positive,Excellent Service and Hospitality
i must commend the security operations and how very respectful they are at eko hotel,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 driving through the garden complex and the signature was quite an urban experience,Eko Hotel,neutral,Beautiful Views and Dining Experiences
there are more than enough carparks with little or no hassle to make it through,Eko Hotel,negative,Event and Conference Spaces
"i'll share more updates here, when i finally make it into their rooms, pool, halls and restaurants",Eko Hotel,positive,Leisure and Relaxation
" although, i've been to the club ""cross roads"" about 3 years back and had a wonderful time and experience",Eko Hotel,positive,Leisure and Relaxation
you should visit if your pocket is right,Eko Hotel,neutral,Leisure and Relaxation
so much fun and good value for money,Eko Hotel,positive,Leisure and Relaxation
i love eko ,Eko Hotel,positive,Leisure and Relaxation
the view is madddd beautiful,Eko Hotel,positive,Beautiful Views and Dining Experiences
"every amenity and hospitality service(s) here; inclusive of the serene ambience is 95% legit, on point, and top-notch",Eko Hotel,positive,Excellent Service and Hospitality
 you will get the message right from the entrance/exit of the main gate,Eko Hotel,neutral,Excellent Service and Hospitality
 the coordination and helpful guidance dispensed by her security personnel and other staff give one a sense of confidence and comfort,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 they only need to work on the sensors that trigger the flush system on the urinary bowl for men,Eko Hotel,neutral,Room Quality and Standards
"however, my last visit here was one of the best moments of my life",Eko Hotel,positive,Leisure and Relaxation
"and again i still find it hard to imagine a hotel that is as old as time and still can house mind-blowing innovation and state-of-the-art amenities, cum tech support",Eko Hotel,positive,Room Quality and Standards
 a wonder to ponder,Eko Hotel,neutral,Room Quality and Standards
"🤔🤔life here is very expensive though, but, eko 🏨 & $uites will always give you a golden memory to keep",Eko Hotel,neutral,Room Quality and Standards
" if you know, you know",Eko Hotel,neutral,Excellent Service and Hospitality
😊😊🇳🇬,Eko Hotel,positive,Serene Environment
"it is a 5 star hotel, the best and the biggest hotel in nigeria",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
they have well trained staff who are professional,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 easy access but the traffic going out was long and slow,Eko Hotel,positive,Serene Environment
eko signature is a nice comfortable hotel with impressive views of the city,Eko Hotel,positive,Beautiful Views and Dining Experiences
 i love the quietness of the rooms and hallways,Eko Hotel,positive,Room Quality and Standards
 the staff are very polite,Eko Hotel,neutral,Welcoming Staff and Comfortable Stay
" i wasn't impressed with the service generally, had to wait a long time for any service",Eko Hotel,negative,Leisure and Relaxation
 i had to call about four times in three hours to get someone to open the fridge in my room when i checked in,Eko Hotel,neutral,Room Quality and Standards
 room cleaning from when it was requested to when it was done took hours,Eko Hotel,neutral,Room Quality and Standards
" also, the phone numbers listed for reservations are hardly answered",Eko Hotel,neutral,Room Quality and Standards
 i had to send someone there to physically make the reservation,Eko Hotel,neutral,Delightful Food and Home-like Feel
 what i kept hearing were apologies,Eko Hotel,neutral,Room Quality and Standards
 i can't believe how a hotel this expensive has such disappointing service,Eko Hotel,negative,Delightful Food and Home-like Feel
 granted its a festive season with lots of guests but still it can be better,Eko Hotel,positive,Event and Conference Spaces
i loved the experience,Eko Hotel,positive,Beautiful Views and Dining Experiences
 the facilities were all intact and functioning in the room,Eko Hotel,positive,Room Quality and Standards
 the wardrobe space was adequate for myself and spouse,Eko Hotel,positive,Event and Conference Spaces
 the staff at the reception were helpful and respectful,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
the service at breakfast which was a buffet was near excellent,Eko Hotel,positive,Excellent Service and Hospitality
 the breakfast offerings were numerous and the service was fast and flowing like a well oiled factory plant,Eko Hotel,positive,Delightful Food and Home-like Feel
